date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
09.12.2016 11:00,2.6,765.8,-2.9,28,Wind blowing from the north-east,2,
09.12.2016 08:00,0.0,768.7,4.3,37,Wind blowing from the north-east,2,
09.12.2016 05:00,0.4,764.4,-2.5,36,Wind blowing from the north-east,3,
09.12.2016 02:00,0.5,766.9,4.4,35,Wind blowing from the north-east,3,
08.12.2016 23:00,2.4,762.5,-1.4,29,Wind blowing from the north-northeast,5,
08.12.2016 20:00,4.7,763.9,5.7,23,Wind blowing from the north-northeast,3,
08.12.2016 17:00,6.5,758.2,-1.6,19,Wind blowing from the north,3,
08.12.2016 14:00,8.0,759.8,3.9,19,Wind blowing from the north,7,
08.12.2016 11:00,8.9,755.9,-3.0,17,Wind blowing from the north-west,7,
08.12.2016 08:00,-0.1,758.9,3.6,90,Wind blowing from the north,1,
08.12.2016 05:00,1.5,755.3,-5.5,81,Wind blowing from the north-northeast,2,
08.12.2016 02:00,2.0,760.8,1.6,78,Wind blowing from the west-southwest,2,
07.12.2016 23:00,1.9,759.2,-4.8,68,Wind blowing from the south-west,1,
07.12.2016 20:00,3.7,764.0,2.6,55,Wind blowing from the south-west,2,
07.12.2016 17:00,5.5,761.4,-3.8,49,Wind blowing from the south-southwest,1,
07.12.2016 14:00,8.3,765.2,1.4,39,Wind blowing from the south,2,
07.12.2016 11:00,4.7,763.8,-2.7,54,Wind blowing from the east-northeast,3,
07.12.2016 08:00,-0.2,766.5,5.6,56,Wind blowing from the east,2,
07.12.2016 05:00,-1.5,760.9,-2.5,57,Wind blowing from the north-east,1,
07.12.2016 02:00,-1.0,763.4,3.8,61,Wind blowing from the north-east,1,
06.12.2016 23:00,-1.1,759.6,-3.0,64,Wind blowing from the east-northeast,1,
06.12.2016 20:00,0.0,762.6,5.0,58,"Calm, no wind",0,
06.12.2016 17:00,3.9,757.6,-3.7,40,Wind blowing from the south-west,2,
06.12.2016 14:00,5.9,761.3,0.5,26,Wind blowing from the south-southwest,2,
06.12.2016 11:00,2.7,760.8,-4.9,30,Wind blowing from the east,2,
06.12.2016 08:00,-2.6,765.7,2.1,45,Wind blowing from the south-southwest,1,
06.12.2016 05:00,-5.1,763.6,-6.0,54,Wind blowing from the south-west,1,
06.12.2016 02:00,-4.0,769.6,2.9,46,Wind blowing from the south-southwest,1,
05.12.2016 23:00,-1.4,766.7,-4.0,34,Wind blowing from the south-west,1,
05.12.2016 20:00,1.5,770.7,3.7,22,Wind blowing from the east-northeast,2,
05.12.2016 17:00,4.2,767.0,-2.6,14,Wind blowing from the north,4,
05.12.2016 14:00,6.4,769.6,3.0,14,Wind blowing from the north-west,5,
05.12.2016 11:00,4.2,766.6,-0.6,28,Wind blowing from the north,7,
05.12.2016 08:00,0.7,767.2,6.2,74,Wind blowing from the north-northwest,1,
05.12.2016 05:00,1.3,761.0,-2.1,72,Wind blowing from the west-northwest,2,
05.12.2016 02:00,1.1,763.1,4.1,76,Wind blowing from the north-east,1,
04.12.2016 23:00,0.5,759.0,-2.5,86,"Calm, no wind",0,
04.12.2016 20:00,4.2,761.5,5.4,73,Wind blowing from the north-east,1,
04.12.2016 17:00,7.8,756.1,-2.1,36,Wind blowing from the east,3,
04.12.2016 14:00,9.5,758.2,1.6,36,Wind blowing from the east-northeast,1,
04.12.2016 11:00,3.1,756.6,-3.2,88,Wind blowing from the west-southwest,1,
04.12.2016 08:00,-2.4,759.8,3.9,96,Wind blowing from the south,1,
04.12.2016 05:00,-1.4,755.9,-4.1,95,"Calm, no wind",0,
04.12.2016 02:00,0.4,760.0,2.8,93,Wind blowing from the east-northeast,1,
03.12.2016 23:00,2.2,757.2,-3.7,87,Wind blowing from the north-east,1,
03.12.2016 20:00,3.0,760.9,3.3,76,Wind blowing from the north-east,1,
03.12.2016 17:00,5.3,757.6,-3.7,61,Wind blowing from the south,1,
03.12.2016 14:00,7.7,761.3,0.6,46,Wind blowing from the south-east,2,
03.12.2016 11:00,4.4,760.7,-3.8,54,Wind blowing from the north-east,2,
03.12.2016 08:00,0.0,764.5,3.2,71,Wind blowing from the east-northeast,2,
03.12.2016 05:00,-0.6,761.3,-4.4,75,Wind blowing from the east,2,
03.12.2016 02:00,-1.5,765.7,2.5,82,"Calm, no wind",0,
02.12.2016 23:00,-0.6,763.2,-4.3,75,Wind blowing from the east,1,
02.12.2016 20:00,2.4,767.5,3.9,62,Wind blowing from the south-west,1,
02.12.2016 17:00,7.3,763.6,,41,Wind blowing from the south,1,
02.12.2016 11:00,6.3,767.0,-3.5,36,Wind blowing from the north-west,1,
02.12.2016 08:00,-1.3,770.5,3.3,66,Wind blowing from the east-northeast,1,
02.12.2016 05:00,-2.5,767.2,-4.5,74,Wind blowing from the south,1,
02.12.2016 02:00,0.1,771.7,3.2,61,Wind blowing from the west-southwest,1,
01.12.2016 23:00,2.2,768.5,-3.4,51,Wind blowing from the south-west,2,
01.12.2016 20:00,4.4,771.9,3.4,43,Wind blowing from the south-west,2,
01.12.2016 17:00,7.5,768.5,-3.3,23,Wind blowing from the south-west,1,
01.12.2016 14:00,9.5,771.8,2.3,17,Wind blowing from the north,2,
01.12.2016 11:00,8.1,769.5,-2.1,20,Wind blowing from the north-northwest,2,
01.12.2016 08:00,4.7,771.6,5.6,28,Wind blowing from the north-northeast,1,
01.12.2016 05:00,4.3,766.0,-2.7,32,Wind blowing from the north-east,1,
01.12.2016 02:00,3.2,768.7,3.9,40,Wind blowing from the north-west,1,
30.11.2016 23:00,5.9,764.8,-1.8,33,Wind blowing from the west-northwest,2,
30.11.2016 20:00,7.6,766.6,5.9,27,Wind blowing from the north-northeast,1,
30.11.2016 17:00,7.3,760.7,-2.6,47,Wind blowing from the west,3,
30.11.2016 14:00,9.4,763.3,1.4,41,Wind blowing from the west,2,
30.11.2016 11:00,4.9,761.9,-4.1,60,Wind blowing from the south-west,2,
30.11.2016 08:00,-0.8,766.0,3.5,89,"Calm, no wind",0,
30.11.2016 05:00,-0.3,762.5,-5.1,86,"Calm, no wind",0,
30.11.2016 02:00,2.3,767.6,1.6,77,Wind blowing from the west-southwest,1,
29.11.2016 23:00,3.2,766.0,-4.8,72,Wind blowing from the east-southeast,2,
29.11.2016 20:00,3.9,770.8,2.8,67,Wind blowing from the north-east,2,
29.11.2016 17:00,4.1,768.0,-4.2,63,Wind blowing from the east-northeast,2,
29.11.2016 14:00,4.1,772.2,1.4,63,Wind blowing from the east-northeast,3,
29.11.2016 11:00,3.1,770.8,-2.9,52,Wind blowing from the east,1,
29.11.2016 08:00,-0.9,773.7,4.5,68,Wind blowing from the north-east,2,
29.11.2016 05:00,-1.6,769.2,-3.7,64,Wind blowing from the east-northeast,2,
29.11.2016 02:00,-2.2,772.9,3.9,72,"Calm, no wind",0,
28.11.2016 23:00,-1.1,769.0,-2.5,66,Wind blowing from the north-east,1,
28.11.2016 20:00,0.8,771.5,4.8,56,"Calm, no wind",0,
28.11.2016 17:00,5.2,766.7,-3.2,37,Wind blowing from the south-west,1,
28.11.2016 14:00,8.3,769.9,1.4,24,Wind blowing from the west-southwest,3,
28.11.2016 11:00,5.2,768.5,-3.2,33,Wind blowing from the south-west,1,
28.11.2016 08:00,-1.9,771.7,3.8,61,Wind blowing from the east,2,
28.11.2016 05:00,-4.3,767.9,-4.4,66,Wind blowing from the east,1,
28.11.2016 02:00,-2.6,772.3,3.5,55,Wind blowing from the south-southwest,1,
27.11.2016 23:00,0.8,768.8,-2.3,38,Wind blowing from the west-southwest,2,
27.11.2016 20:00,2.6,771.1,5.0,27,Wind blowing from the east-northeast,3,
27.11.2016 17:00,6.3,766.1,-2.6,17,Wind blowing from the north,5,
27.11.2016 14:00,7.0,768.7,2.9,18,Wind blowing from the north-northeast,4,
27.11.2016 11:00,6.2,765.8,-1.4,19,Wind blowing from the north,4,
27.11.2016 08:00,4.6,767.2,6.0,26,Wind blowing from the north-northeast,3,
27.11.2016 05:00,6.5,761.2,-2.1,23,Wind blowing from the north-west,4,
27.11.2016 02:00,-1.3,763.3,4.4,88,Wind blowing from the north-northwest,1,
26.11.2016 23:00,0.9,758.9,-3.3,77,Wind blowing from the east-southeast,1,
26.11.2016 20:00,1.5,762.2,4.0,73,Wind blowing from the south-west,1,
26.11.2016 17:00,5.7,758.2,-3.1,59,Wind blowing from the south-southwest,2,
26.11.2016 14:00,7.6,761.3,1.5,41,Wind blowing from the south-southwest,2,
26.11.2016 11:00,3.6,759.8,-3.6,69,Wind blowing from the south-southwest,2,
26.11.2016 08:00,-1.8,763.4,3.9,88,Wind blowing from the west-southwest,1,
26.11.2016 05:00,-0.3,759.5,-5.0,83,Wind blowing from the east,1,
26.11.2016 02:00,-0.1,764.5,2.8,82,Wind blowing from the south-west,1,
25.11.2016 23:00,1.1,761.7,-3.9,74,Wind blowing from the south,1,
25.11.2016 20:00,2.1,765.6,3.9,68,Wind blowing from the south-southwest,1,
25.11.2016 17:00,3.5,761.7,-3.4,57,Wind blowing from the south-west,2,
25.11.2016 14:00,5.0,765.1,1.4,37,Wind blowing from the south-west,3,
25.11.2016 11:00,2.6,763.7,-3.2,42,Wind blowing from the east,2,
25.11.2016 08:00,-3.2,766.9,3.9,71,Wind blowing from the east-northeast,1,
25.11.2016 05:00,-3.7,763.0,-3.9,70,Wind blowing from the east-northeast,1,
25.11.2016 02:00,-2.9,766.9,3.3,64,Wind blowing from the south-southwest,1,
24.11.2016 23:00,-0.2,763.6,-3.6,50,Wind blowing from the south-southwest,1,
24.11.2016 20:00,-1.1,767.2,3.9,52,Wind blowing from the south-southwest,1,
24.11.2016 17:00,2.5,763.3,-4.2,33,Wind blowing from the south-west,2,
24.11.2016 14:00,4.1,767.5,0.5,31,Wind blowing from the south,3,
24.11.2016 11:00,1.6,767.0,-4.2,35,Wind blowing from the west-southwest,2,
24.11.2016 08:00,-3.7,771.2,4.1,61,Wind blowing from the south-west,1,
24.11.2016 05:00,-6.0,767.1,-4.9,59,Wind blowing from the west-southwest,1,
24.11.2016 02:00,-4.0,772.0,2.8,52,Wind blowing from the north-east,1,
23.11.2016 23:00,-1.1,769.2,-3.4,34,Wind blowing from the east-northeast,2,
23.11.2016 20:00,-0.4,772.6,4.5,46,Wind blowing from the west-northwest,2,
23.11.2016 17:00,1.0,768.1,-3.7,37,Wind blowing from the west-southwest,1,
23.11.2016 14:00,2.4,771.8,0.7,30,Wind blowing from the west-southwest,3,
23.11.2016 11:00,0.1,771.1,-4.4,39,Wind blowing from the west-southwest,4,
23.11.2016 08:00,-4.6,775.5,4.5,49,Wind blowing from the west,2,
23.11.2016 05:00,-3.9,771.0,-4.5,33,Wind blowing from the north,2,
